ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	98	ALL	pɨyɨ́ɨni	 e g ;  e g ; come to an end or run out;  referring either to temporal periods;  a day;  or to a determinate number or entities or quantity of substance;  the quantity of food that one has to eat; everything; everyone; all	all	all-1
2	1577	AND	músati	‘gallinazo panga’;  a bush;  common in ‘purmas’;  with broad leaves that;  when rubbed;  emit a strong smell reminiscent of rotting matter;  the leaves;  crushed in water together with <[mɨɨ́sɨɨyɨ](LX001943)> (‘ajo sacha’) and other strong-smelling leaves;  are used to prepare a liquid in which one bathes to rid oneself of ‘saladera’ or chronic bad luck; Cream-colored Woodpecker;  a species of woodpecker that reaches 25cm in length;  with an erect crest;  buff-yellowish plumage except for its brown wings and tail tip;  and;  in males;  a small red stripe next to its beak  Generally found near flooded forest as well as river and lake edges	 and	and-1
3	619	ANIMAL	tasiitáani	guard or watch over something or someone to make sure that it is not stolen or damaged;  or in the case of an animal or person;  that he or she is not hurt;  kidnapped;  or does not escape (if held captive);  crucially;  this term is employed when the guarding or watching over is not specifically for the benefit of the thing;  animal;  or person being watched over or guarded	 animal	animal-1
4	646	ASH	pukiti	ash	ash	ash-1
5	1461	AT	=jina	at;  on;  in	at	at-1
6	1291	BACK	jiwíriku	 back; Short-Crested and/or Dusky-Capped Flycatcher;  bird reaching some 20cm in length;  wtih brown head;  and wings;  gray throat;  and dirty yellow chest and belly	 back	back-2
7	1292	BAD	sɨɨ́sana	bad;  undesirable or substandard in some manner; ugly; irritable;  bad-tempered;  impolite;  or uncooperative;  speaking of people; weedy or overgrown;  said of cultivated or cleared areas	bad	bad-1
8	1204	BARK	ísɨkɨ	skin of a person;  or skin or hide of an animal; tree bark; rind;  skin;  or husk of a fruit or tuber; shell;  said of the integument of animals such as turtles;  armadillos and <[waáyuuri](LX003463)> (‘carachamas’)	tree bark	treebark-1
9	1422	BE ALIVE	iwíini	 i e ; be;  live;  exist;  positive existential verb which predicates that a given entity exists and;  in the case of animate entities;  lives; be located in a place;  locative copular verb; live in a place;  typically for prolonged period of time; be in a state;  copular verb for event-stage predicates;  ‘temporary’ states (e g ;  be sad); live one’s life;  full of the typical activities of a person’s daily existence; euphemistic expression for having a sexual relationship with someone	 live	live-1
10	1157	BECAUSE	iyaamiaákuji	because	because	because-1
11	1251	BELLY	tanaka	belly;  entending from the end of the rib-cage to the groin;  speaking of the exterior part	belly	belly-5
12	904	BERRY				
13	1202	BIG	aniita	big;  large;  great	big	big-2
14	937	BIRD	iíwaasi	 e g ; flat animal tail;  be it vertical or horizonal in orientation;  of a fish;  bird;  dolphin;  or a manatee	 bird	bird-1
15	1403	BITE	sɨ́ɨni	bite;  speaking of any creature other than arthropods and snakes;  including humans	bite	bite-1
16	163	BLACK	sapatina	black	black	black-8
17	946	BLOOD	májaaka	blood	blood	blood-1
18	175	BLOW (OF WIND)	núuni	 e g ; burn or flame up;  speaking of a fire at the point that it is producing large flames; blow or blow on something;  to make a fire flame up;  to cool down hot soup;  or to cure a patient;  in the case of a shaman; the largest species of ‘shuyo’-type fish;  reaching some 40cm in length in Iquito territory;  with a dark back;  yellow face;  reddish belly;  and a longitudinal stripe along its side  This fish is noteworthy for making overland migrations in large groups to nearby bodies when its former body of water begins to dry up	blow or blow on something	bloworblowonsomething-1
19	379	BLUNT	tikina	 e g ;  e g ;  e g ;  a pestle; rounded or blunt;  speaking either of something designed to be rounded;  or something that was formerly sharp;  but has been blunted by use;  a fishing spear point that has been struck against a rock;  or an edge that is blunt;  a machete	rounded or blunt	roundedorblunt-1
20	1394	BONE	niiki	bone;  from the large bones of mammals such as humans;  to the tiny bones of small fish; manioc cutting;  section of manioc stalk;  typically cut to some 25-35cm in length for planting;  the cutting is tyically planted by driving it almost entirely into the soil at a shallow angle	bone	bone-1
21	1407	BREATHE	júnɨɨna iríini	breathe	breathe	breathe-1
22	1428	BURNING	núùnì			
23	1304	CHILD (YOUNG HUMAN)	maaya			
24	1489	CLOUD	anajaka	smoke; steam; cloud or mist	cloud or mist	cloudormist-1
25	2483	COLD (OF WEATHER)	sɨɨmɨ́ɨtìnà 			
26	1446	COME	aníini	rain; come;  move in the direction of the deictic center; fell tree;  for rain to fall	come	come-1
27	1725	CORRECT (RIGHT)				
28	1420	COUNT	sanitáani	 e g ; try;  test;  try doing something to see if turns out well or in an expected manner;  or test something or someone to determine if they have a desired quality;  test a motor to see if it works;  or test a student in an exam to see if they have learned something; measure or count;  measure some continuous property;  especially;  the length or weight of an object;  count or keep track of some countable set of objects	measure or count	measureorcount-1
29	1432	CUT	rapíini	 e g ;  cut; tear;  or break into small pieces;  a piece of fabric by tearing;  a piece of meat with a knife;  or a glass object by shattering it against a wall	 cut	cut-4
30	1225	DAY (NOT NIGHT)	yaawɨ́ɨni	 e g ; day;  referring both to the period of light during the 24 hour cycle of day and night;  and to the entirety of the cycle itself; season;  or period of time considerably longer than a day;  such as the season in which a particular insect or fruit is abundant;  <jimɨ́nati yaawɨ́ɨni> ‘horsefly season’; an occasion;  instance;  or time when some event takes place	day	day-1
31	1494	DIE	iwarɨ́ɨni	die; sickness;  illness (general term); be sick or ill	die	die-2
32	1418	DIG	muráànì 			
33	1230	DIRTY	suúkwarana	 speaking either of objects or living beings; dirty	dirty	dirty-3
34	2009	DOG	mɨyaaraa	wild cat (plural); dog (plural)	dog (plural)	dogplural-1
35	1401	DRINK	raríini	 e g ; drink; take medicine;  a pill or a syrup	drink	drink-1
36	1398	DRY	turúuni	dry;  to be in the process of drying	dry	dry-2
37	2	DUST	pukitika	 e g ; dust or fine powder;  ashes;  the fine residue in ‘fariña’ (manioc meal);  or dandruff; very fine and soft down;  found near the skin of tinamous (e g ;  <[ráana](LX002581)>);  finer and softer than the down (<[janɨɨwɨ](LX001177)>) found on most birds	dust or fine powder	dustorfinepowder-1
38	1247	EAR	túuku	ear;  speaking of either the exterior ear and ear canal as a whole or only the exterior part of the ear; handle;  speaking of loop-like handles;  such as those found on baskets;  pots;  and cups	ear	ear-1
39	1228	EARTH (SOIL)	níiya	soil or earth;  speaking of the substance of which the ground is consituted; ground;  speaking of the surface of the land;  regardless of what precise substance it is constituted of; land or territory;  the region of the world to which a person or group belongs or to which they can lay a claim; Earth or world	soil or earth	soilorearth-1
40	1336	EAT	asáani	 e g ;  spiders;  or wasps; bite or sting;  speaking of snakes or arthropods such as ants; cut superficially;  for something to give a superficial cut or puncture without significantly breaking the skin;  razor grass (<[ariyuuka](ariyuuka)>) cutting the skin when one brushes against it; eat	eat	eat-1
41	744	EGG	naaki	 fish; egg;  be it of a bird;  amphibian;  reptile;  or insect	egg	egg-1
