Doculect	Concept	Form	Note
Shiwilu	ALL	iñer'	
Shiwilu	AND	=lek	
Shiwilu	ANIMAL	añimer	Spanish
Shiwilu	ASH	pendalu'	
Shiwilu	AT	=k	
Shiwilu	BACK	pitek	
Shiwilu	BAD	mukankinpu'	
Shiwilu	BARK	chipitek	
Shiwilu	BECAUSE	malek	
Shiwilu	BELLY	merpi	
Shiwilu	BERRY		
Shiwilu	BIG	a’llupi	
Shiwilu	BIRD	ilanser’	
Shiwilu	BITE	kitek’apalli	
Shiwilu	BLACK	ker’	
Shiwilu	BLOOD	ukladek	
Shiwilu	BLOW (OF WIND)	pekku’palli	
Shiwilu	BONE	lansi’	
Shiwilu	BREATHE	neripalli	
Shiwilu	BURNING	uluntaplli	
Shiwilu	CHILD (YOUNG HUMAN)	wila	
Shiwilu	CLOUD		
Shiwilu	COLD (OF WEATHER)		
Shiwilu	COME	uk’apalli	There is also other entry and the examples given for both are the same: wek’apalli
Shiwilu	COUNT	pichipalli	
Shiwilu	CUT	dektunpalli	
Shiwilu	DAY (NOT NIGHT)	uklli	
Shiwilu	DIE	chiminpalli	
Shiwilu	DIG	iwa’palli	
Shiwilu	DIRTY	werchu’a’su’	
Shiwilu	DOG	ñiñi’wa	
Shiwilu	DRINK	uwapalli	
Shiwilu	DRY		
Shiwilu	BLUNT		
Shiwilu	DUST	tu’sunlu’	
Shiwilu	EAR	wi’wek	
Shiwilu	EARTH (SOIL)	lu’tek	
Shiwilu	EAT	ka’apalli	intransative form: uranpalli
Shiwilu	EGG	kadu’	
Shiwilu	EYE	lada	
Shiwilu	FALL	anu’palli	
Shiwilu	FAR	wi	
Shiwilu	FAT (ORGANIC SUBSTANCE)	iyadek	
Shiwilu	FATHER	tata	
Shiwilu	FEAR (BE AFRAID)	tekkuapalli	
Shiwilu	FEATHER	anpulu’	
Shiwilu	FEW	ñi enpu’ni	
Shiwilu	FIGHT		
Shiwilu	FIRE	pen	
Shiwilu	FISH	samer	
Shiwilu	FIVE	alei’teklun	
Shiwilu	FLOAT	punka’palli	
Shiwilu	FLOW		
Shiwilu	FLOWER	danku	
Shiwilu	FLY (MOVE THROUGH AIR)	pennu’palli	
Shiwilu	FOG		
Shiwilu	FOOT	lantek	
Shiwilu	FOUR	ínkatu’	
Shiwilu	FREEZE		
Shiwilu	GIVE	enka’palli	
Shiwilu	GOOD	makanka	
Shiwilu	GRASS	panpatek	
Shiwilu	GREEN	tankuwawamekpu’a’su’	
Shiwilu	GUTS	dullin	
Shiwilu	HAIR	enchek	
Shiwilu	HAND	itekla	
Shiwilu	HE		
Shiwilu	HEAD	mutu’	
Shiwilu	HEAR	lawek’apalli	
Shiwilu	HEART	dinlupi	
Shiwilu	HEAVY	kuer’a’su’	
Shiwilu	HERE	asek	
Shiwilu	HIT	llipu’tapalli	
Shiwilu	HOLD		
Shiwilu	HOW	ma’pu’su	
Shiwilu	HUNT	yunek’apalli	
Shiwilu	HUSBAND	suda	
Shiwilu	I	kenmu’	inclusive form
Shiwilu	I	kua	exclusive form
Shiwilu	ICE		
Shiwilu	IF		
Shiwilu	IN	=k	
Shiwilu	KILL	di’apalli	
Shiwilu	KNOW (SOMETHING)	ñinchitapalli	
Shiwilu	LAKE	senna	
Shiwilu	LAUGH	yamerapalli	
Shiwilu	LEAF	lalumek	
Shiwilu	LEFT	amennan	
Shiwilu	LEG	kutu’	This is the form for the lower part of the leg. The term for the upper parte is: tula
Shiwilu	LIE (REST)		
Shiwilu	BE ALIVE	nanpiapalli	
Shiwilu	LIVER	kankan	
Shiwilu	LONG	shinsu’	
Shiwilu	LOUSE	chimen	
Shiwilu	MALE PERSON	enmu’pinen	
Shiwilu	MANY	wapu’	
Shiwilu	FLESH OR MEAT	chuchu	
Shiwilu	MOTHER	awa	
Shiwilu	MOUNTAIN	mutupi	
Shiwilu	MOUTH	la’la’	
Shiwilu	NAME	llinlli	
Shiwilu	NARROW	du’winpu’	
Shiwilu	NEAR	kawi	
Shiwilu	NECK	unker	
Shiwilu	NEW	nalu	
Shiwilu	NIGHT	utawan	
Shiwilu	NOSE	nerchek	
Shiwilu	NOT	-i'n	
Shiwilu	OLD	taserpi	The form given here is for persons. The form used to refer to things is: user’
Shiwilu	ONE	ala’sa’	
Shiwilu	OTHER	ali’la	
Shiwilu	PERSON		
Shiwilu	PLAY	intekllitapalli	
Shiwilu	PULL	uwalapalli	
Shiwilu	PUSH	pita’kapalli	
Shiwilu	RAIN (RAINING)	u’lanpalli	
Shiwilu	RED	piper	
