Doculect	Concept	Form	Note	Gloss
Yanesha	ANIMAL			animal
Yanesha	DOG			dog
Yanesha	BIRD	ot̃		bird
Yanesha	SNAKE			snake
Yanesha	FISH			fish (noun)
Yanesha	LOUSE			louse
Yanesha	WORM			worm (earthworm)
Yanesha	GRASS			grass
Yanesha	TREE			tree
Yanesha	NAME			name
Yanesha	FATHER			father
Yanesha	MOTHER			mother
Yanesha	HUSBAND			husband
Yanesha	WIFE			wife
Yanesha	MALE PERSON			man (male)
Yanesha	WOMAN			woman
Yanesha	CHILD (YOUNG HUMAN)			child
Yanesha	HEAD			head
Yanesha	EAR			ear
Yanesha	EYE			eye
Yanesha	NOSE			nose
Yanesha	MOUTH			mouth
Yanesha	TONGUE			tongue
Yanesha	NECK	c̈henopets		neck
Yanesha	BELLY			belly
Yanesha	BACK	che'ñets		back (of body)
Yanesha	TAIL			tail
Yanesha	LEG	t̃apats		leg
Yanesha	FOOT			foot
Yanesha	WING			wing
Yanesha	HAND			hand
Yanesha	HEART			heart
Yanesha	GUTS			guts
Yanesha	LIVER			liver
Yanesha	BONE			bone
Yanesha	FLESH OR MEAT			meat (flesh)
Yanesha	FAT (ORGANIC SUBSTANCE)			fat (grease)
Yanesha	SKIN (HUMAN)			skin (of person)
Yanesha	HAIR			hair
Yanesha	BLOOD			blood
Yanesha	ROOT			root
Yanesha	BARK			bark (of tree)
Yanesha	LEAF			leaf
Yanesha	FLOWER			flower
Yanesha	SEED			seed
Yanesha	STICK			stick (of wood)
Yanesha	ASH			ashes
Yanesha	MOUNTAIN			mountain
Yanesha	RIVER			river
Yanesha	LAKE			lake
Yanesha	SEA			sea
Yanesha	WATER			water
Yanesha	ICE			Ice
Yanesha	FIRE	tso'		fire
Yanesha	SMOKE (EXHAUST)			smoke (noun)
Yanesha	EARTH (SOIL)			earth (soil)
Yanesha	DUST	pañe'te'		dust
Yanesha	SAND	mueñ		sand
Yanesha	STONE	mapue'		stone
Yanesha	ROAD	carretera (camino; trocha)		road (path)
Yanesha	EGG	pa'me'		egg
Yanesha	RAIN (RAINING)	o'		rain
Yanesha	SNOW			snow
Yanesha	FOG	ohsaarets		fog
Yanesha	SKY	enet		sky
Yanesha	CLOUD	ohs		cloud
Yanesha	WIND	m̃orr		wind (breeze)
Yanesha	SUN	atsne'		sun
Yanesha	STAR	ranto		star
Yanesha	DAY (NOT NIGHT)	yet̃		day (daytime)
Yanesha	NIGHT	tsap		night
Yanesha	YEAR	char		year
Yanesha	SALT	pos		salt
Yanesha	I	na		I
Yanesha	HE	ña		he
Yanesha	THEY	ñet		they
Yanesha	WE	ya		we
Yanesha	THIS	añ		this
Yanesha	THAT	ñeñt̃		that
Yanesha	BE ALIVE	correñets		live
Yanesha	DIE	rromueñets		die
Yanesha	FREEZE	che'neñets		freeze
Yanesha	SWELL	mueseñets		swell
Yanesha	BREATHE	o'rrerreñets		breathe
Yanesha	BLOW (OF WIND)	a't̃oreñets		blow (wind)
Yanesha	SLEEP	mueñets		sleep
Yanesha	SIT	aneñets		sit
Yanesha	STAND	t̃eñets		stand
Yanesha	FLOAT	enopa'rrteñets		float
Yanesha	FLOW	mateñets		flow
Yanesha	COME	hueñets		come
Yanesha	WALK			walk
Yanesha	SWIM	pat̃eñets		swim
Yanesha	PLAY	yellsheñe'cheñets		play
Yanesha	SEE	enteñets		see
Yanesha	EAR	e'mueñets		hear
Yanesha	HEAR	e'mueñets		hear
Yanesha	KNOW (SOMETHING)	eñoteñets		know (facts)
Yanesha	THINK	cot̃ape'cheñets		think
Yanesha	SAY	oteñets		say
Yanesha	SING	morrecheñets		sing
Yanesha	LAUGH	che'teñets		laugh
Yanesha	EAT	rreñets		eat
Yanesha	DRINK			drink (verb)
Yanesha	SUCK			suck
Yanesha	BITE			bite
Yanesha	HUNT			hunt
Yanesha	SEW			sew
Yanesha	PULL			pull
Yanesha	THROW			throw
Yanesha	PUSH			push
Yanesha	SQUEEZE			squeeze
Yanesha	DIG			dig
Yanesha	WASH			wash
Yanesha	WIPE			wipe
Yanesha	RUB			rub
Yanesha	GIVE			give
Yanesha	HOLD			hold (in hand)
Yanesha	SPLIT			split
Yanesha	FIGHT			fight
Yanesha	HIT			hit
Yanesha	KILL			kill
Yanesha	SMOOTH			smooth
Yanesha	COLD (OF WEATHER)			cold (weather)
Yanesha	SHARP			sharp (knife)
Yanesha	BLUNT			dull (knife)
Yanesha	ROTTEN	potsañ		rotten (log)
Yanesha	STRAIGHT	pac̈harr		straight
Yanesha	DIRTY	sosey		dirty
Yanesha	HEAVY	eñerr		heavy
Yanesha	WET	pore'		wet
Yanesha	BLACK	quellue; yenanen		black
Yanesha	WHITE	huallama't̃		white
Yanesha	RED	tsama't̃		red
Yanesha	YELLOW	shomasher		yellow
Yanesha	GREEN	aspan		green
Yanesha	NEW	etserra		new
Yanesha	GOOD	cohuen		good
Yanesha	BAD	sosey		bad
Yanesha	HERE	arr		here
Yanesha	THERE	t̃arr		there
Yanesha	NEAR	allame'tets		near
Yanesha	FAR	allap̃ar		far
Yanesha	RIGHT	pac̈harr		right (side)
Yanesha	LEFT	echcot̃		left (side)
Yanesha	BIG	atarr		big
Yanesha	THICK	b̃at̃		wide
Yanesha	WIDE	b̃at̃		wide
Yanesha	THICK	raquët		thick
Yanesha	SMALL	añet̃oll		small
Yanesha	THIN	pue'per		thin
Yanesha	NARROW	quec̈hco		narrow
Yanesha	LONG	allpocha'p̃		long
Yanesha	SHORT	coñe't̃		short
Yanesha	ONE			one
Yanesha	TWO	epa		two
Yanesha	THREE	ma'pa		three
Yanesha	FOUR	pa'tats		four
Yanesha	FIVE	amnar		five
Yanesha	MANY	parroren		many
Yanesha	FEW	coñe't̃		few
Yanesha	ALL	allohuenet		all
Yanesha	SOME	patantarr		some
Yanesha	OTHER	po'poñ		other
Yanesha	IN	en		in
Yanesha	CORRECT (RIGHT)	atet̃		right (correct)
Yanesha	NOT	ama		not
Yanesha	AND	ñam̃a		and
Yanesha	BECAUSE	ñeñt̃o'mar		because
Yanesha	IF	jaa		if
Yanesha	AT	-o		at
