Doculect	Concept	Form	Note
Zaparo	ALL	kawiryaha	
Zaparo	AND		
Zaparo	ANIMAL		
Zaparo	ASH		
Zaparo	AT	=hinya	
Zaparo	BACK	ushiawku	
Zaparo	BAD	tsɨraniaka	
Zaparo	BARK	nakuna ichawkɨ	
Zaparo	BECAUSE		
Zaparo	BELLY	tawaka	
Zaparo	BERRY		
Zaparo	BIG	kɨraka	
Zaparo	BIRD	pishaka	
Zaparo	BITE	tsainyu	
Zaparo	BLACK	kakɨka	
Zaparo	BLOOD	nanaka	
Zaparo	BLOW (OF WIND)		
Zaparo	BONE	uku	
Zaparo	BREATHE		
Zaparo	BURNING		
Zaparo	CHILD (YOUNG HUMAN)	takwapɨ	Niña: mɨaricha
Zaparo	CLOUD		
Zaparo	COLD (OF WEATHER)	shinyaka	
Zaparo	COME	aninyu	
Zaparo	COUNT		
Zaparo	CUT	mahaanu	
Zaparo	DAY (NOT NIGHT)		
Zaparo	DIE	pukɨnu	
Zaparo	DIG	wityahunu	
Zaparo	DIRTY		
Zaparo	DOG	aryawku	
Zaparo	DRINK	ratunu	
Zaparo	DRY		
Zaparo	BLUNT		
Zaparo	DUST		
Zaparo	EAR	takɨrɨkaw	
Zaparo	EARTH (SOIL)	rapaka	
Zaparo	EAT	atsanu	
Zaparo	EGG	iku	
Zaparo	EYE	namihya	
Zaparo	FALL	ɨtɨkwanu	
Zaparo	FAR	taikwa	
Zaparo	FAT (ORGANIC SUBSTANCE)		
Zaparo	FATHER	kumanu	
Zaparo	FEAR (BE AFRAID)	pɨrɨnu	
Zaparo	FEATHER	kahaakwa	
Zaparo	FEW		
Zaparo	FIGHT		
Zaparo	FIRE		
Zaparo	FISH		
Zaparo	FIVE		
Zaparo	FLOAT	ukanu	
Zaparo	FLOW		
Zaparo	FLOWER	nukawiku	
Zaparo	FLY (MOVE THROUGH AIR)	ahanu	
Zaparo	FOG		
Zaparo	FOOT	inyawka	
Zaparo	FOUR		
Zaparo	FREEZE		
Zaparo	GIVE	inyawnu	
Zaparo	GOOD	wɨtsaka	
Zaparo	GRASS	yawsuka	
Zaparo	GREEN	nɨɨka	
Zaparo	GUTS	maraka	
Zaparo	HAIR	anakɨsu	
Zaparo	HAND	kuruha	
Zaparo	HE	naw	
Zaparo	HEAD	anaka	
Zaparo	HEAR	tahwinyu	
Zaparo	HEART	uihya	
Zaparo	HEAVY	inyaka	
Zaparo	HERE	ani	Varient: aniti
Zaparo	HIT	apinyu	
Zaparo	HOLD		
Zaparo	HOW	tiya	
Zaparo	HUNT		
Zaparo	HUSBAND	iryanaw	
Zaparo	I	kwihya	
Zaparo	ICE		
Zaparo	IF		
Zaparo	IN	=hinya	
Zaparo	KILL	amunu	
Zaparo	KNOW (SOMETHING)	aytɨnu	
Zaparo	LAKE	nakɨtɨrɨka	
Zaparo	LAUGH	tsutanu	
Zaparo	LEAF	uɨmɨ	
Zaparo	LEFT		
Zaparo	LEG	numaha	
Zaparo	LIE (REST)		
Zaparo	BE ALIVE	ikinyu	
Zaparo	LIVER	kawaha	
Zaparo	LONG	saaka	
Zaparo	LOUSE	sukanawa	
Zaparo	MALE PERSON		
Zaparo	MANY	manuka	
Zaparo	FLESH OR MEAT	ishu	
Zaparo	MOTHER	anu	
Zaparo	MOUNTAIN		
Zaparo	MOUTH	atupama	
Zaparo	NAME	aychaw	
Zaparo	NARROW		
Zaparo	NEAR		
Zaparo	NECK	arichakwa	
Zaparo	NEW		
Zaparo	NIGHT	ninya	
Zaparo	NOSE	nahuka	
Zaparo	NOT		
Zaparo	OLD		
Zaparo	ONE	nukakɨha	
Zaparo	OTHER	taka	
Zaparo	PERSON	kaya	person (zaparo)
Zaparo	PERSON	tawɨ	non-zaparo person
Zaparo	PLAY	tawhwɨnu	
Zaparo	PULL	atanu	
Zaparo	PUSH	takinyu	
Zaparo	RAIN (RAINING)		
Zaparo	RED	natuka	
Zaparo	CORRECT (RIGHT)		
Zaparo	RIGHT		
Zaparo	RIVER	murichaha	
Zaparo	ROAD	nu	
Zaparo	ROOT	tapuka	
Zaparo	ROPE	iyawka	
Zaparo	ROTTEN	mukaka	
Zaparo	RUB		
Zaparo	SALT	ichahwa	
Zaparo	SAND	ayawhwa	
Zaparo	SAY	atinyu	
Zaparo	SCRATCH	arishunu	
Zaparo	SEA		
Zaparo	SEE	nukinyu	
Zaparo	SEED	tuicha	
Zaparo	SEW	kusupɨnu	
Zaparo	SHARP		
Zaparo	SHORT		
Zaparo	SING	uranu	
Zaparo	SIT	ikunu	
Zaparo	SKIN (HUMAN)	ichawkɨ	General term for SKIN
Zaparo	SKY	niya	
Zaparo	SLEEP	makɨnu	
Zaparo	SMALL	niichakakihya	
Zaparo	SMELL (PERCEIVE)	nahuunu	
Zaparo	SMOKE (EXHAUST)	ahanaka	
Zaparo	SMOOTH		
Zaparo	SNAKE		
Zaparo	SNOW		
Zaparo	SOME		
Zaparo	SPIT	arukuno	
Zaparo	SPLIT		
Zaparo	SQUEEZE		
Zaparo	STAB		
Zaparo	STAND	achichanu	
Zaparo	STAR	naricha	
Zaparo	STICK	amaka	
Zaparo	STONE	naruka	
Zaparo	STRAIGHT		
Zaparo	SUCK	supɨnu	
Zaparo	SUN	yanawkwa	
Zaparo	SWELL	muinyu	
Zaparo	SWIM	ukanu	
Zaparo	TAIL		
Zaparo	THAT	nuka	
Zaparo	THERE	ati	
Zaparo	THEY	nukwaka	Short form: nuka
Zaparo	THICK		
Zaparo	THIN		
Zaparo	THINK	nishinyu	
Zaparo	THIS	niicha	
Zaparo	THOU	chaha	Short form: cha
Zaparo	THREE	aymukamara	
Zaparo	THROW	ahatanu	
Zaparo	TIE	marahunu	
Zaparo	TONGUE	riricha	
Zaparo	TOOTH	icharɨ	
Zaparo	TREE	nakuna	
Zaparo	TURN AROUND		
Zaparo	TWO	amashaniki	
Zaparo	VOMIT	ikɨninyu	
Zaparo	WALK	awkunu	
Zaparo	WARM (OF WEATHER)		
Zaparo	WASH	tsukiryawhunu	
Zaparo	WATER	murichaha	
Zaparo	WE	kanaha	exclusive. Short form: kana=
Zaparo	WE	pɨaka	inclusive. Short form: pa=
Zaparo	WET	tsutuka	
Zaparo	WHAT	katsaka	
Zaparo	WHEN	tiyakari	
Zaparo	WHERE	tayi	
Zaparo	WHITE	ushicha	
Zaparo	WHO	kanatɨ	
Zaparo	WIDE		
Zaparo	WIFE	irichanaw	
Zaparo	WIND	paratu	
Zaparo	WING	kahaakwa	
Zaparo	WIPE		
Zaparo	WITH	=ta	
Zaparo	WOMAN	ityumuka	This form has more semantic and morphological complexity (esposa, pareja, mujer, esta palabra requiere un poseedor explícito): irichanaw
Zaparo	FOREST	nakuhinya	
Zaparo	WORM		
Zaparo	YOU	kinyaha	Short form: kinya
Zaparo	YEAR	amarihya	
Zaparo	YELLOW	tɨkɨrɨka	
