ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	98	ALL	pɨyɨ́ɨni	 e g ;  e g ; come to an end or run out;  referring either to temporal periods;  a day;  or to a determinate number or entities or quantity of substance;  the quantity of food that one has to eat; everything; everyone; all	everything	everything-1
2	98	ALL	pɨyɨ́ɨni	 e g ;  e g ; come to an end or run out;  referring either to temporal periods;  a day;  or to a determinate number or entities or quantity of substance;  the quantity of food that one has to eat; everything; everyone; all	all	all-1
3	1577	AND	aásiwa	 e g ;  e g ; general term for people suffering from a developmental disability;  with Downs Syndrome;  and/or with severe speech difficulties or muteness;  these types of disabilities seem to be closely identified with one another for many Iquitos; mentally ill or crazy individual;  someone who is unpredictably and irrationally violent	 and/or with severe speech difficulties or muteness	andorwithseverespeechdifficultiesormuteness-1
4	1577	AND	ijɨɨ́rana	 e g ;  said of;  for example;  said; sour or acidic in flavor;  of fruits high in vitamin C;  or overly aged manioc beer; sharp but superficial;  speaking of pain;  the bite of certain insects;  such as <[anaasi](anaasi)> (mosquitoes);  <[aákusaja](LX000061)> (‘isangos’);  and <[simɨ́naja](LX003003)> (ticks)	 and <[simɨ́naja](LX003003)> (ticks)	andsimnajaLX003003ticks-1
5	1577	AND	isíiku	 respectively;  in fact; ‘sarna’;  general term for a type of skin malady that can spread to cover much of the body and can last for many years;  causing significant itching  Until the introduction of antibiotics in the 1950s;  a significant number of Iquitos were afflicted by this condition;  mention of their particular susceptibility goes back to 18th century Jesuit chronicles  Iquitos distinguished three varieties of this condition;  based on whether it manifested as a black;  white;  or red coloration of the skin;  <[mɨɨ́nana isíiku](LX001916)>;  <[musútina isíiku](LX002035)>;  and <[aákusana isíiku](LX000062)>; person suffering from ‘sarna’	 and <[aákusana isíiku](LX000062)>	andaakusanaisiikuLX000062-1
6	1577	AND	kaaya nikiiti	 a medicinal plant; variety of <[mɨɨ́mɨɨti](LX001912)> (‘chacruna’);  that is said to induce the ability to see <[kɨɨ́wasiija](LX001546)>;  demonic souls of the dead;  and <[siwaara](siwaara)>;  demons  To induce this magical ability;  the plant was chewed;  some of the juice was swallowed and the resulting pulp was rubbed in the eyes	 and <[siwaara](siwaara)>	andsiwaarasiwaara-1
7	1577	AND	kimakɨ	‘cosho’;  a type of trough traditionally made from the bark of the <[isakúuna](LX000996)> (‘tahuarí’) tree;  and used to store large quantities of liquid;  such as manioc beer or water  To make one;  cuts were made in a rectangular piece of bark so that the two ends could be folded upward to make the sides of the trough;  the overlapping pieces were pierced and tied together with <[núriyɨ](LX002367)> (‘tamshi’);  and <[iwaana](iwaana)> <[kuruja](kuruja)> (beeswax) or <[kɨriija](LX001568)> (tree pitch) was used to seal the holes and gaps  These containers continued to be made until about the 1940s	 and <[iwaana](iwaana)> <[kuruja](kuruja)> (beeswax) or <[kɨriija](LX001568)> (tree pitch) was used to seal the holes and gaps  These containers continued to be made until about the 1940s	andiwaanaiwaanakurujakurujabeeswaxorkriijaLX001568treepitchwasusedtosealtheholesandgapsThesecontainerscontinuedtobemadeuntilaboutthe1940s-1
8	1577	AND	músati	‘gallinazo panga’;  a bush;  common in ‘purmas’;  with broad leaves that;  when rubbed;  emit a strong smell reminiscent of rotting matter;  the leaves;  crushed in water together with <[mɨɨ́sɨɨyɨ](LX001943)> (‘ajo sacha’) and other strong-smelling leaves;  are used to prepare a liquid in which one bathes to rid oneself of ‘saladera’ or chronic bad luck; Cream-colored Woodpecker;  a species of woodpecker that reaches 25cm in length;  with an erect crest;  buff-yellowish plumage except for its brown wings and tail tip;  and;  in males;  a small red stripe next to its beak  Generally found near flooded forest as well as river and lake edges	 and	and-1
9	1577	AND	muúsaka	body odor;  especially the disagreeable musky smell of human armpits; musky odor of the scent gland or <[pisaki](pisaki)>;  of the two peccary species;  <[anitáaki](LX000435)> and <[kaasi](kaasi)>	 <[anitáaki](LX000435)> and <[kaasi](kaasi)>	anitaakiLX000435andkaasikaasi-1
10	1577	AND	riitiri	 e g ;  similarly; general term that includes ‘huitinas’ and ‘patiquinas’;  cultivated plants from distinct genera that share the property of having multiple stalks emerging from a single set of roots;  each of which ends in a single large roughly triangular or heart-shaped leaf  The ‘huitinas’;  plants of the genus Xanthosoma;  reach some 1m in height and have green leaves;  triangular leaves;  and edible starchy corms;  there are four named varieties;  <[anapa anákaari](LX000362)>;  <[ikijáani](LX000823)>;  <[kasiíniika](LX001496)>;  and <[mɨyaara jíina](LX001989)>;  and these names are typically used in preference to the more general term <[riitiri](riitiri)> to avoid confusion with the smaller ‘patiquina’-type plants  The ‘patiquinas’;  plants of the genus Dieffenbachia;  reach some 30cm in height and have correspondingly smaller heart-shaped leaves;  edged in green with red or pale centers  The corms of these plants are considered poisonous;  and the pulp of some varieties is used to kill <[tuútuuja](LX003436)> (botfly larvae) infesting the skins of animals  Other varieties were traditionally used for a number of magical practices associated with taming and attracting game animals;  treating the rope and harpoon used in fishing for <[sámuu](LX002777)> (‘paiche’) with a liquid derived from the corms;  which is said to make the giant fish docile and attract it to the fisherman;  application of a similar liquid to trees where <[sikiáaja](LX002964)> (deer) are known to rub their horns;  or <[kaasi](kaasi)> (collared peccaries) their sides;  is supposed to attract these animals to the area;  making them easier to hunt	 and <[mɨyaara jíina](LX001989)>	andmyaarajiinaLX001989-1
11	1577	AND	siápuukwatáani	 <[páasi](LX002424)> (‘huasaco’); rapidly agitate the surface of the water;  typically with the tip of a fishing pole;  to attract the attention of certain types of fish;  such as <[nujija](nujija)> (‘morarra’);  and <[awáara](LX000600)> (‘tucunaré’);  so that they will be more likely to take the bait that the fisherman is dangling in the water	 and <[awáara](LX000600)> (‘tucunaré’)	andawaaraLX000600tucunare-1
12	1577	AND	Siirɨɨ́taja	Iquito woman born in the mid-19th century;  who lived in the <[Aakamáana](LX000036)> settlement earlier in her life;  and in a house near the Castilla ‘sacarita’ during the latter years of her life;  she died in approximately 1920;  with no known descendants  She had two other names by which see was also known;  <[Amɨriítaasi](LX000298)> (also <[Amuriítaasi](LX000313)>) and <[Tiítɨɨsi](LX003338)>	 <[Amɨriítaasi](LX000298)> (also <[Amuriítaasi](LX000313)>) and <[Tiítɨɨsi](LX003338)>	AmriitaasiLX000298alsoAmuriitaasiLX000313andTiitsiLX003338-1
13	1577	AND	sikiáaja	general term for the two species of deer found in Iquito territory;  <[kasina sikiáaja](LX001499)> and <[aákusana sikiáaja](LX000064)>	 <[kasina sikiáaja](LX001499)> and <[aákusana sikiáaja](LX000064)>	kasinasikiaajaLX001499andaakusanasikiaajaLX000064-1
14	1577	AND	simɨ́naja	general term for ticks;  a number of specific species are also recognized as parasitizing particular species of animals;  in decreasing size;  these include: <pɨsɨkɨ simɨ́naja> (Tapir tick);  <kaasi simɨ́naja> (Collared Pecarry tick);  <muuti simɨ́naja> (Black Agouti tick);  and <íiri simɨ́naja> (Nocturnal Currasow tick)	 and <íiri simɨ́naja> (Nocturnal Currasow tick)	andiirisimnajaNocturnalCurrasowtick-1
15	1577	AND	tɨrɨjátina	 e g ; speckled;  mottled;  dotted;  or streaked;  with small areas of one color against a larger background of another color;  often said of the coloration of animals;  <[júuti](LX001321)> (Rufescent Tiger Herons);  <[tiímaaka](LX003307)> (Pacas);  and <pɨsɨkɨ niyini> (juvenile Tapirs)	 and <pɨsɨkɨ niyini> (juvenile Tapirs)	andpskniyinijuvenileTapirs-1
16	619	ANIMAL	asɨ́ɨni	 e g ; cut;  scratch;  or scrape something by means of glancing blow;  in the case of a person or animal;  breaking the skin;  and in the case of an inanimate object;  gouging or scoring the surface;  a spear tip breaking the skin with a glancing blow;  or an animal’s claws gouging the surface of a piece of wood; feed;  give someone food	 in the case of a person or animal	inthecaseofapersonoranimal-1
17	619	ANIMAL	iiki	feces of human or animal; a substance encountered in beehives;  reportedly consisting of mixture of pollen and other substances;  which was traditionally extracted and mixed with honey and royal jelly as a treatment for colds and rheumatism	feces of human or animal	fecesofhumanoranimal-1
18	619	ANIMAL	iíkuku	surface or outer layer;  whether of an inanimate entity or a living being; on or over the surface of; body of a human or animal	body of a human or animal	bodyofahumanoranimal-1
19	619	ANIMAL	iipanúuni	 e g ; warm something up;  most saliently a person or animal;  by holding them in one’s arms or placing them by a fire;  but also something inanimate;  like a piece of metal or food	 most saliently a person or animal	mostsalientlyapersonoranimal-1
20	619	ANIMAL	íiyɨ	 e g ; lip of human or animal; the one-dimensional edge of a space conceived of as a two-dimensional extension;  such as a garden or river;  or the thin edge of three-dimensional object;  the lip of a pot;  or the lip of the side of a canoe	lip of human or animal	lipofhumanoranimal-1
21	619	ANIMAL	jíina	full grown penis of an adult human or animal; protruding entryway of certain bees’ and wasps’ nests whose form roughly resembles that of a penis	full grown penis of an adult human or animal	fullgrownpenisofanadulthumanoranimal-1
22	619	ANIMAL	kɨɨrɨɨyáana	 e g ; coward;  cowardly or excessively fearful person or animal;  someone who is afraid of going places alone;  or one who tends to flee when unknown people approach	 cowardly or excessively fearful person or animal	cowardlyorexcessivelyfearfulpersonoranimal-1
23	619	ANIMAL	maruukiitáani	 e g ; tie together any two slender;  rigid things;  two sticks;  but especially the limbs of a person or animal	 but especially the limbs of a person or animal	butespeciallythelimbsofapersonoranimal-1
24	619	ANIMAL	náani	body;  speaking of the entirety of the body of a human or animal;  and not simply its surface (cf  <[iíkuku](LX000668)>); the greater part or larger remaining part of a quantity of a mass noun;  e g manioc beer;  food;  or gasoline	 speaking of the entirety of the body of a human or animal	speakingoftheentiretyofthebodyofahumanoranimal-1
25	619	ANIMAL	niíkitina	thin; bony;  speaking of flesh that contains numerous;  often small;  bones;  typically said of fish;  speaking of a person or animal;  to the point that their bones;  especially their ribs;  are plainly visible	 speaking of a person or animal	speakingofapersonoranimal-1
26	619	ANIMAL	parikɨ́ɨni	 e g ;  speaking of a person or animal; be flat against the ground;  to hide from pursuer;  or be collapsed into a low pile;  as of a house that has collapsed completely to the ground	 speaking of a person or animal	speakingofapersonoranimal-2
27	619	ANIMAL	pɨyaánaamɨ	hip bone of human or animal;  referring to the entire cradle of the hip;  excluding the coccyx	hip bone of human or animal	hipboneofhumanoranimal-1
28	619	ANIMAL	ruruukúuni	 e g ;  pain;  due to;  or shout; cry out;  yell;  vocalize loudly;  but not with communicative intent;  speaking of an adult or animal;  or emotional distress;  speaking of a child	 speaking of an adult or animal	speakingofanadultoranimal-1
29	619	ANIMAL	tasiitáani	guard or watch over something or someone to make sure that it is not stolen or damaged;  or in the case of an animal or person;  that he or she is not hurt;  kidnapped;  or does not escape (if held captive);  crucially;  this term is employed when the guarding or watching over is not specifically for the benefit of the thing;  animal;  or person being watched over or guarded	 animal	animal-1
30	619	ANIMAL	tiitáani	follow a person or animal;  be it immediately or after a significant delay	follow a person or animal	followapersonoranimal-1
31	619	ANIMAL	titika	footprint; foot of human being or animal;  whether fleshy or hoofed	foot of human being or animal	footofhumanbeingoranimal-1
32	619	ANIMAL	wíira	animal or human body fat;  whether still attached to the body;  or rendered as the result of cooking; any edible fat;  oil;  or grease	animal or human body fat	animalorhumanbodyfat-1
33	646	ASH	pukitina	 e g ; dusty or powdery;  covered in dust or powder;  from mildew or ashes	 from mildew or ashes	frommildeworashes-1
34	646	ASH	pukiti	ash	ash	ash-1
35	646	ASH	pukitíini	 e g ;  said of;  ash; be dusty or powdery;  be covered in dust;  or powder;  the growth of mildew that covers fabrics with a dust-like covering;  the outcome of weevils tunneling in wood;  which produces a powdery substance;  or the burning of wood which covers firepits or burned gardens in powdery ash	 ash	ash-2
36	646	ASH	pukitika	 e g ; dust or fine powder;  ashes;  the fine residue in ‘fariña’ (manioc meal);  or dandruff; very fine and soft down;  found near the skin of tinamous (e g ;  <[ráana](LX002581)>);  finer and softer than the down (<[janɨɨwɨ](LX001177)>) found on most birds	 ashes	ashes-1
37	1461	AT	=akájinaku	at or on the middle part or mid-point	at or on the middle part or mid-point	atoronthemiddlepartormidpoint-1
