ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
1	all (of a number)	Iquito	Zaparoan	pɨyɨ́ɨni	pɨyɨ́ɨni	p ɨ j ɨː n i	20	43	p ɨ j ɨː n i			all	Michael2022
2	and	Iquito	Zaparoan	músati	músati	m u s a t i	31	67	m u s a t i			and	Michael2022
3	animal	Iquito	Zaparoan	tasiitáani	tasiitáani	t a s iː t aː n i	43	86	t a s iː t aː n i			animal	Michael2022
4	ashes	Iquito	Zaparoan	pukiti	pukiti	p u k i t i	58	107	p u k i t i			ash	Michael2022
5	at	Iquito	Zaparoan	=jina	=jina	h i n a	73	132	h i n a			at	Michael2022
6	back (person's)	Iquito	Zaparoan	jiwíriku	jiwíriku	h i w i r i + k u	83	153 18	h i w i r i + k u			back	Michael2022
7	bad (deleterious or unsuitable)	Iquito	Zaparoan	sɨɨ́sana	sɨɨ́sana	s ɨː s a + n a	103	19 20	s ɨː s a + n a			None	Michael2022
8	bark	Iquito	Zaparoan	ísɨkɨ	ísɨkɨ	i s ɨ k ɨ	127	22	i s ɨ k ɨ			tree bark	Michael2022
9	to live	Iquito	Zaparoan	iwíini	iwíini	i w iː n i	2552	4254	i w iː n i			live	Michael2022
10	because	Iquito	Zaparoan	iyaamiaákuji	iyaamiaákuji	i j aː mʲ aː k u h i	143	247	i j aː mʲ aː k u h i			because	Michael2022
11	belly	Iquito	Zaparoan	tanaka	tanaka	t a n a k a	156	264	t a n a k a			belly	Michael2022
12	big	Iquito	Zaparoan	aniita	aniita	a n iː t a	187	316	a n iː t a			big	Michael2022
13	bird	Iquito	Zaparoan	iíwaasi	iíwaasi	iː w aː s i	214	355	iː w aː s i			bird	Michael2022
14	to bite	Iquito	Zaparoan	sɨ́ɨni	sɨ́ɨni	s ɨː n i	2182	3620	s ɨː n i			bite	Michael2022
15	black	Iquito	Zaparoan	sapatina	sapatina	s a p a t i n a	241	391	s a p a t i n a			black	Michael2022
16	blood	Iquito	Zaparoan	májaaka	májaaka	m a h aː k a	266	423	m a h aː k a			blood	Michael2022
17	to blow (of wind)	Iquito	Zaparoan	núuni	núuni	n uː n i	2197	3648	n uː n i			blow or blow on something	Michael2022
18	dull (knife)	Iquito	Zaparoan	tikina	tikina	t i k i n a	425	680	t i k i n a			rounded or blunt	Michael2022
19	bone	Iquito	Zaparoan	niiki	niiki	n iː k i	285	468	n iː k i			bone	Michael2022
20	to breathe	Iquito	Zaparoan	júnɨɨna iríini	júnɨɨna iríini	h u n ɨː n a + i r iː n i	2218	3682 3679	h u n ɨː n a + ( i ) r iː n i ( - )			breathe	Michael2022
21	to burn (intrans)	Iquito	Zaparoan	núùnì	núùnì	n uː n i	2226	3696	n uː n i			None	Michael2022
22	child (young person rather than as relationship term)	Iquito	Zaparoan	maaya	maaya	m aː j a	307	505	m aː j a			None	Michael2022
23	cloud	Iquito	Zaparoan	anajaka	anajaka	a n a h a k a	322	524	a n a h a k a			cloud or mist	Michael2022
24	cold (of weather)	Iquito	Zaparoan	sɨɨmɨ́ɨtìnà	sɨɨmɨ́ɨtìnà	s ɨː m ɨː t i n a	336	547	s ɨː m ɨː t i n a			None	Michael2022
25	to come	Iquito	Zaparoan	aníini	aníini	a n iː n i	2234	3707	a n iː n i			come	Michael2022
26	to count	Iquito	Zaparoan	sanitáani	sanitáani	s a n i t aː n i	2249	3738	s a n i t aː n i			measure or count	Michael2022
27	to cut	Iquito	Zaparoan	rapíini	rapíini	r a p iː n i	2257	3749	r a p iː n i			cut	Michael2022
28	day (opposite of night rather than time measure)	Iquito	Zaparoan	yaawɨ́ɨni	yaawɨ́ɨni	j aː w ɨː n i	346	559	j aː w ɨː n i			day	Michael2022
29	to die	Iquito	Zaparoan	iwarɨ́ɨni	iwarɨ́ɨni	i w a r ɨː n i	2279	3781	i w a r ɨː n i			die	Michael2022
30	to dig	Iquito	Zaparoan	muráànì	muráànì	m u r aː n i	2298	3814	m u r aː n i			None	Michael2022
31	dirty	Iquito	Zaparoan	suúkwarana	suúkwarana	s uː kʷ a r a n a	364	591	s uː kʷ a r a n a			dirty	Michael2022
32	dog	Iquito	Zaparoan	mɨyaaraa	mɨyaaraa	m ɨ j aː r aː	388	626	m ɨ j aː r aː			dog (plural)	Michael2022
33	to drink	Iquito	Zaparoan	raríini	raríini	r a r iː n i	2308	3830	- r a r iː n i			drink	Michael2022
34	dry (substance)	Iquito	Zaparoan	turúuni	turúuni	t u r uː n i	409	657	t u r uː n i			dry	Michael2022
35	dust	Iquito	Zaparoan	pukitika	pukitika	p u k i t i k a	439	707	p u k i t i k a			dust or fine powder	Michael2022
36	ear	Iquito	Zaparoan	túuku	túuku	t uː k u	460	736	t uː k u			ear	Michael2022
37	earth (soil)	Iquito	Zaparoan	níiya	níiya	n iː j a	484	778	n iː j a			soil or earth	Michael2022
38	to eat	Iquito	Zaparoan	asáani	asáani	a s aː n i	2333	3869	a s aː n i			eat	Michael2022
39	egg	Iquito	Zaparoan	naaki	naaki	n aː k i	504	801	n - - aː k i			egg	Michael2022
40	eye	Iquito	Zaparoan	namija	namija	n a m i h a	519	834	n a m i h a			eye	Michael2022
41	to fall (drop rather than topple)	Iquito	Zaparoan	itɨ́ɨni	itɨ́ɨni	i t ɨː n i	2359	34	i t ɨː - - n i - -			fall	Michael2022
42	far	Iquito	Zaparoan	síipa	síipa	s iː p a	547	881	s iː p a			far	Michael2022
43	fat (organic substance)	Iquito	Zaparoan	wíira	wíira	w iː r a	565	908	w iː r a			or grease	Michael2022
44	father	Iquito	Zaparoan	akɨ	akɨ	a k ɨ	574	922	- a k ɨ			father	Michael2022
45	to fear	Iquito	Zaparoan	kɨɨrɨ́ɨni	kɨɨrɨ́ɨni	k ɨː r ɨː n i	2374	3945	k ɨː r ɨː n i			fear	Michael2022
46	feather (larger feathers rather than down)	Iquito	Zaparoan	kajasi	kajasi	k a h a + s i	593	954 57	k a h a + s i			feather	Michael2022
47	few	Iquito	Zaparoan	jɨɨ́timijaarika	jɨɨ́timijaarika	h ɨː t i m i h aː r i k a	617	994	h ɨː t i m i h aː r i k a			a few	Michael2022
48	few	Iquito	Zaparoan	jɨɨ́tipɨjaarika	jɨɨ́tipɨjaarika	h ɨː t i p ɨ h aː r i k a	617	994	h ɨː t i p ɨ h aː r i k a			a few	Michael2022
49	to fight	Iquito	Zaparoan	ipurúuni	ipurúuni	i p u r uː n i	2386	3966	i p u r uː n i			fight	Michael2022
50	fire	Iquito	Zaparoan	ijakɨ́ɨni	ijakɨ́ɨni	i h a k ɨː n i	643	1030	i h a k ɨː n i			fire	Michael2022
51	fish	Iquito	Zaparoan	paápaaraja	paápaaraja	p aː p aː r a h a	663	59	p aː p aː r a h a			fish (general term)	Michael2022
52	meat (flesh)	Iquito	Zaparoan	naasíija	naasíija	n aː s iː h a	1194	1961	n aː s iː h a			flesh or meat	Michael2022
53	to float	Iquito	Zaparoan	ikatáani	ikatáani	i k a t aː n i	2390	3974	i k a t aː n i			float	Michael2022
54	to flow	Iquito	Zaparoan	ɨ́ɨni	ɨ́ɨni	ɨː n i	2396	3985	ɨː n i			flow	Michael2022
55	flower	Iquito	Zaparoan	itiyɨki	itiyɨki	i t i j ɨ k i	706	1133	i t i j ɨ k i			a flower	Michael2022
56	to fly	Iquito	Zaparoan	siaawíita	siaawíita	ʃ aː w iː t a	2411	4007	ʃ aː w iː t a			fly	Michael2022
57	fog	Iquito	Zaparoan	panakaja	panakaja	p a n a k a h a	723	1159	p a n a k a h a			mist or falling damp	Michael2022
58	foot	Iquito	Zaparoan	tiitiwa	tiitiwa	t iː t i w a	738	1184	- t i h ia			foot (plural)	Michael2022
59	woods	Iquito	Zaparoan	táasa	táasa	t aː s a	3207	5395	t aː s a			mainly used to carry tubers (especially manioc) and fruits from the garden or forest	Michael2022
60	four	Iquito	Zaparoan	suwaramaajɨtáami	suwaramaajɨtáami	s u w a r a m aː h ɨ t aː m i	761	1225	s u w a r a m aː h ɨ t aː m i			four	Michael2022
61	to give	Iquito	Zaparoan	miitɨ́ɨni	miitɨ́ɨni	m iː t ɨː n i	2432	4037	m iː ( - - ) t ɨː n i			give	Michael2022
62	good	Iquito	Zaparoan	suwáani	suwáani	s u w aː n i	784	1259	s u w aː n i			good	Michael2022
63	grass	Iquito	Zaparoan	iyásììka	iyásììka	i j a s iː k a	800	1283	( - i ) j a s iː k a			None	Michael2022
64	green	Iquito	Zaparoan	nɨyana	nɨyana	n ɨ j a n a	826	1323	n ɨ j a n a			green	Michael2022
65	hair	Iquito	Zaparoan	ririíkɨɨtáani	ririíkɨɨtáani	r i r iː k ɨː t aː n i	850	1361	r i r iː k ɨː t aː n i			hair	Michael2022
66	hand	Iquito	Zaparoan	kurika	kurika	k u r i k a	874	1396	k u r i k a			hand	Michael2022
67	he	Iquito	Zaparoan	nu=	nu=	n u	891	63	n u			he	Michael2022
68	head	Iquito	Zaparoan	ánaka	ánaka	a n a k a	903	1465	a n a k a			head	Michael2022
69	to hear	Iquito	Zaparoan	tuujíini	tuujíini	t uː h iː n i	2447	4066	t uː h iː n i			hear or listen	Michael2022
70	heart	Iquito	Zaparoan	akánataaja	akánataaja	a k a n a t aː h a	931	1515	a k a n a t aː h a			heart	Michael2022
71	heavy	Iquito	Zaparoan	iinana	iinana	iː n a n a	945	1541	iː n a n a			heavy	Michael2022
72	here	Iquito	Zaparoan	kiniki	kiniki	k i n i k i	961	1568	k i n i k i			here	Michael2022
73	to hit	Iquito	Zaparoan	aamúuni	aamúuni	aː m uː n i	2470	4102	aː m uː n i			hit or strike a living being	Michael2022
74	to hold (in hand)	Iquito	Zaparoan	kasiráani	kasiráani	k a s i r aː n i	2481	4128	k a s i r aː n i			hold	Michael2022
75	how	Iquito	Zaparoan	jaátaaraa	jaátaaraa	h aː t aː r aː	978	64	h aː t aː r aː			how	Michael2022
76	to hunt (game)	Iquito	Zaparoan	aamɨ́yààkíìnì	aamɨ́yààkíìnì	aː m ɨ j aː k iː n i	2493	4148	aː m ɨ j aː k iː n i			None	Michael2022
77	husband	Iquito	Zaparoan	níyaaka	níyaaka	n i j aː k a	996	1631	n i j aː k a			husband	Michael2022
78	I	Iquito	Zaparoan	kí=	kí=	k i	2	11	k i - -			I	Michael2022
79	in	Iquito	Zaparoan	=jina	=jina	h i n a	1028	74	h i n a			in	Michael2022
80	to kill	Iquito	Zaparoan	aamúuni	aamúuni	aː m uː n i	2503	4165	aː m uː n i			kill	Michael2022
81	to know (facts)	Iquito	Zaparoan	nakusíìnì	nakusíìnì	n a k u s iː n i	2523	4207	n a k u s iː n i			None	Michael2022
82	lake	Iquito	Zaparoan	iniyáani	iniyáani	i n i j aː n i	1041	1717	i n i j aː n i			such as a river or lake	Michael2022
83	to laugh	Iquito	Zaparoan	satáani	satáani	s a t aː n i	2538	79	s a t aː n i			laugh	Michael2022
84	leaf	Iquito	Zaparoan	íimɨ	íimɨ	iː m ɨ	1054	1733	- iː m ɨ -			leaf	Michael2022
85	leaf	Iquito	Zaparoan	naamɨ	naamɨ	n aː m ɨ	1054	1733	n aː m ɨ -			leaf	Michael2022
86	left (hand)	Iquito	Zaparoan	jaámɨɨkiji	jaámɨɨkiji	h aː m ɨː k i h i	1081	1779	h aː m ɨː k i h i			left side	Michael2022
87	leg	Iquito	Zaparoan	áaja	áaja	aː h a	1096	1803	aː h a			leg	Michael2022
88	to lie	Iquito	Zaparoan	iwɨɨtáani	iwɨɨtáani	i w ɨː t aː n i	2547	4246	i w ɨː t aː n i			be lying down	Michael2022
89	liver	Iquito	Zaparoan	kúwaaja	kúwaaja	k u w aː h a	1110	1827	k u w aː h a			liver	Michael2022
90	long	Iquito	Zaparoan	saana	saana	s aː n a	1130	95	s aː n a			long	Michael2022
91	louse	Iquito	Zaparoan	sikwanaja	sikwanaja	s i kʷ a n a h a	1148	1888	s i kʷ a n a h a			louse	Michael2022
92	man (male human)	Iquito	Zaparoan	ikwánì	ikwánì	i kʷ a n i	1163	1919	i kʷ a n i			None	Michael2022
93	many	Iquito	Zaparoan	maasiáànà	maasiáànà	m aː ʃ aː n a	1175	1935	m aː ʃ aː n a			None	Michael2022
94	mother	Iquito	Zaparoan	maámaaja	maámaaja	m aː m aː h a	1210	1988	m aː m aː h a			mother	Michael2022
95	mouth	Iquito	Zaparoan	itípùmà	itípùmà	i t i p u m a	1253	2056	i t i p u m a			None	Michael2022
96	name	Iquito	Zaparoan	ɨɨ́yaaka	ɨɨ́yaaka	ɨː j aː k a	1278	2094	ɨː j aː k a			name	Michael2022
97	narrow	Iquito	Zaparoan	tuukina	tuukina	t uː k i n a	1294	2118	t uː k i n a			narrow	Michael2022
98	neck	Iquito	Zaparoan	ríkiija	ríkiija	r i k iː h a	1326	2160	r i k iː h a			neck	Michael2022
99	new	Iquito	Zaparoan	saámina	saámina	s aː m i n a	1350	2198	s aː m i n a			new	Michael2022
100	night	Iquito	Zaparoan	niínaki	niínaki	n iː n a k i	1362	2221	n iː n a k i			night	Michael2022
101	nose	Iquito	Zaparoan	najika	najika	n a h i k a	1379	120	n a h i k a			nose	Michael2022
102	not	Iquito	Zaparoan	kaa	kaa	k aː	1405	2300	k aː			None	Michael2022
103	old	Iquito	Zaparoan	kumaku	kumaku	k u m a k u	1423	2341	k u m a k u			old	Michael2022
104	one	Iquito	Zaparoan	nuúkiika	nuúkiika	n uː k iː k a	1447	2373	n uː k iː k a - - ( - - )			one	Michael2022
105	other	Iquito	Zaparoan	taana	taana	t aː n a	1461	2407	t aː n a			other	Michael2022
106	person	Iquito	Zaparoan	kaaya	kaaya	k aː j a	1480	2443	k aː j a			person or human being	Michael2022
107	to play	Iquito	Zaparoan	maayaasíini	maayaasíini	m aː j aː s iː n i	2571	4285	m aː j aː s iː n i			play	Michael2022
108	to pull	Iquito	Zaparoan	jɨ́ɨni	jɨ́ɨni	h ɨː n i	2581	4300	h ɨː n i ( - - - - )			pull	Michael2022
109	to push	Iquito	Zaparoan	kɨnitáani	kɨnitáani	k ɨ n i t aː n i	2594	4324	( - - ) k ɨ n i ( t aː n i )			push or lift a heavy load	Michael2022
110	to rain	Iquito	Zaparoan	aníìnì	aníìnì	a n iː n i	2606	123	a n iː n i			None	Michael2022
111	red	Iquito	Zaparoan	nuusina	nuusina	n uː s i n a	1497	2459	n uː s - i ( n a )			red	Michael2022
112	right (hand)	Iquito	Zaparoan	suwákija	suwákija	s u w a k i h a	1535	2532	s u w a k i h a			right side	Michael2022
113	river	Iquito	Zaparoan	aatɨ́ɨni	aatɨ́ɨni	aː t ɨː n i	1556	2562	aː t ɨː n i			river	Michael2022
114	river	Iquito	Zaparoan	nunáani	nunáani	n u n aː n i	1569	2575	n u n aː n i			river	Michael2022
115	road (or trail)	Iquito	Zaparoan	amakɨ	amakɨ	a m a k ɨ	1575	2597	a m a k ɨ			None	Michael2022
116	root	Iquito	Zaparoan	anija	anija	a n i h a	1582	2607	a n i h a			root (plant	Michael2022
117	rope	Iquito	Zaparoan	iiyɨɨ	iiyɨɨ	iː j ɨː	1603	2644	- - - i j au k a			rope or cord of any type	Michael2022
118	rotten (especially log)	Iquito	Zaparoan	pukina	pukina	p u k i n a	1623	2675	p u k i n a			rotten or decayed	Michael2022
119	to rub	Iquito	Zaparoan	kaakuusíini	kaakuusíini	k aː k uː s iː n i	2613	4356	k aː k uː s iː n i			rub or massage a body part to alleviate pain	Michael2022
120	salt	Iquito	Zaparoan	iisaja	iisaja	iː s a h a	1635	2699	iː s a h a			salt	Michael2022
121	sand	Iquito	Zaparoan	kakuti	kakuti	k a k u t i	1653	2728	k a k u t i			sand	Michael2022
122	say	Iquito	Zaparoan	aríini	aríini	a r iː n i	1672	128	a r iː n i			say	Michael2022
123	to scratch (as with fingernails to relieve itch)	Iquito	Zaparoan	aríìnì	aríìnì	a r iː n i	2625	4372	a r iː - - n i			None	Michael2022
124	see	Iquito	Zaparoan	nikíini	nikíini	n i k iː n i	1702	2819	n i k iː n i			see	Michael2022
125	seed	Iquito	Zaparoan	íniijaa	íniijaa	i n iː h aː	1730	2861	i n iː h aː			seed (plural)	Michael2022
126	to sew	Iquito	Zaparoan	sipúuni	sipúuni	s i p uː n i	2635	4385	- - s i p uː n i			sew	Michael2022
127	sharp (as knife)	Iquito	Zaparoan	kuukwana	kuukwana	k uː kʷ a n a	1746	2887	k uː kʷ a n a			sharp	Michael2022
128	short	Iquito	Zaparoan	takínuurika	takínuurika	t a k i n uː r i k a	1761	2909	t a k i n uː r i k a			short	Michael2022
129	to sing	Iquito	Zaparoan	ariwáani	ariwáani	a r i w aː n i	2649	4406	a r i w aː n i			sing	Michael2022
130	sit	Iquito	Zaparoan	ajirɨ́ɨ̀nì	ajirɨ́ɨ̀nì	a h i r ɨː n i	1782	2938	- a h i r ɨː n i			None	Michael2022
131	skin (person's)	Iquito	Zaparoan	ísɨ̀kɨ̀	ísɨ̀kɨ̀	i s ɨ k ɨ	1798	2961	i s ɨ k ɨ			None	Michael2022
132	sky	Iquito	Zaparoan	níiya=karikuku	níiya=karikuku	n iː j a + k a r i k u k u	1811	140 2982	n iː j a + k a r i k u k u			sky	Michael2022
133	sleep	Iquito	Zaparoan	makɨ́ɨni	makɨ́ɨni	m a k ɨː n i	1825	3011	m a k ɨː n i			sleep	Michael2022
134	small	Iquito	Zaparoan	sɨɨ́sanurika	sɨɨ́sanurika	s ɨː s a n u r i k a	1847	3047	s ɨː s a n u r i k a			small or little	Michael2022
135	to smell (perceive odor)	Iquito	Zaparoan	najiwɨ́ɨ̀nì	najiwɨ́ɨ̀nì	n a h i w ɨː n i	2663	4429	n a h i.w.ɨː n i			None	Michael2022
136	smoke (of fire)	Iquito	Zaparoan	anajaka	anajaka	a n a h a k a	1866	3073	a n a h a k a			smoke	Michael2022
137	smooth	Iquito	Zaparoan	aákanana	aákanana	aː k a n a n a	1885	3102	aː k a n a n a			smooth	Michael2022
138	snake	Iquito	Zaparoan	sirɨ́ɨni	sirɨ́ɨni	s i r ɨː n i	1901	3128	s i r ɨː n i			a worm or snake	Michael2022
139	some	Iquito	Zaparoan	jɨɨ́timi	jɨɨ́timi	h ɨː t i m i	1925	3161	h ɨː t i m i			some	Michael2022
